Label,Key,R,G,B,T
1127,ctx-lh-G_precuneus,25,20,140,1
1128,ctx-lh-G_rectus,20,60,100,1
1129,ctx-lh-G_subcallosal,60,220,20,1
1130,ctx-lh-G_subcentral,60,20,220,1
1131,ctx-lh-G_temporal_inferior,220,220,100,1
1132,ctx-lh-G_temporal_middle,180,60,60,1
1133,ctx-lh-G_temp_sup-G_temp_transv_and_interm_S,60,60,220,1
1134,ctx-lh-G_temp_sup-Lateral_aspect,220,60,220,1
1135,ctx-lh-G_temp_sup-Planum_polare,65,220,60,1
1136,ctx-lh-G_temp_sup-Planum_tempolare,25,140,20,1
1137,ctx-lh-G_and_S_transverse_frontopolar,13,0,250,1
1138,ctx-lh-Lat_Fissure-ant_sgt-ramus_horizontal,61,20,220,1
1139,ctx-lh-Lat_Fissure-ant_sgt-ramus_vertical,61,20,60,1
1140,ctx-lh-Lat_Fissure-post_sgt,61,60,100,1
1141,ctx-lh-Medial_wall,25,25,25,1
1142,ctx-lh-Pole_occipital,140,20,60,1
1143,ctx-lh-Pole_temporal,220,180,20,1
1144,ctx-lh-S_calcarine,63,180,180,1
1145,ctx-lh-S_central,221,20,10,1
1146,ctx-lh-S_central_insula,21,220,20,1
1147,ctx-lh-S_cingulate-Main_part_and_Intracingulate,183,100,20,1
1148,ctx-lh-S_cingulate-Marginalis_part,221,20,100,1
1149,ctx-lh-S_circular_insula_anterior,221,60,140,1
1150,ctx-lh-S_circular_insula_inferior,221,20,220,1
1151,ctx-lh-S_circular_insula_superior,61,220,220,1
1152,ctx-lh-S_collateral_transverse_ant,100,200,200,1
1153,ctx-lh-S_collateral_transverse_post,10,200,200,1
1154,ctx-lh-S_frontal_inferior,221,220,20,1
1155,ctx-lh-S_frontal_middle,141,20,100,1
1156,ctx-lh-S_frontal_superior,61,220,100,1
1157,ctx-lh-S_frontomarginal,21,220,60,1
1158,ctx-lh-S_intermedius_primus-Jensen,141,60,20,1
1159,ctx-lh-S_intraparietal-and_Parietal_transverse,143,20,220,1
1160,ctx-lh-S_occipital_anterior,61,20,180,1
1161,ctx-lh-S_occipital_middle_and_Lunatus,101,60,220,1
1162,ctx-lh-S_occipital_superior_and_transversalis,21,20,140,1
1163,ctx-lh-S_occipito-temporal_lateral,221,140,20,1
1164,ctx-lh-S_occipito-temporal_medial_and_S_Lingual,141,100,220,1
1165,ctx-lh-S_orbital-H_shapped,101,20,20,1
1166,ctx-lh-S_orbital_lateral,221,100,20,1
1167,ctx-lh-S_orbital_medial-Or_olfactory,181,200,20,1
1168,ctx-lh-S_paracentral,21,180,140,1
1169,ctx-lh-S_parieto_occipital,101,100,180,1
1170,ctx-lh-S_pericallosal,181,220,20,1
1171,ctx-lh-S_postcentral,21,140,200,1
1172,ctx-lh-S_precentral-Inferior-part,21,20,240,1
1173,ctx-lh-S_precentral-Superior-part,21,20,200,1
1174,ctx-lh-S_subcentral_ant,61,180,60,1
1175,ctx-lh-S_subcentral_post,61,180,250,1
1176,ctx-lh-S_suborbital,21,20,60,1
1177,ctx-lh-S_subparietal,101,60,60,1
1178,ctx-lh-S_supracingulate,21,220,220,1
1179,ctx-lh-S_temporal_inferior,21,180,180,1
1180,ctx-lh-S_temporal_superior,223,220,60,1
1181,ctx-lh-S_temporal_transverse,221,60,60,1
2100,ctx-rh-Unknown,0,0,0,1
2101,ctx-rh-Corpus_callosum,50,50,50,1
2102,ctx-rh-G_and_S_Insula_ONLY_AVERAGE,180,20,30,1
2103,ctx-rh-G_cingulate-Isthmus,60,25,25,1
2104,ctx-rh-G_cingulate-Main_part,25,60,60,1
2105,ctx-rh-G_cuneus,180,20,20,1
2106,ctx-rh-G_frontal_inf-Opercular_part,220,20,100,1
2107,ctx-rh-G_frontal_inf-Orbital_part,140,60,60,1
2108,ctx-rh-G_frontal_inf-Triangular_part,180,220,140,1
2109,ctx-rh-G_frontal_middle,140,100,180,1
2110,ctx-rh-G_frontal_superior,180,20,140,1
2111,ctx-rh-G_frontomarginal,140,20,140,1
2112,ctx-rh-G_insular_long,21,10,10,1
2113,ctx-rh-G_insular_short,225,140,140,1
2114,ctx-rh-G_and_S_occipital_inferior,23,60,180,1
2115,ctx-rh-G_occipital_middle,180,60,180,1
2116,ctx-rh-G_occipital_superior,20,220,60,1
2117,ctx-rh-G_occipit-temp_lat-Or_fusiform,60,20,140,1
2118,ctx-rh-G_occipit-temp_med-Lingual_part,220,180,140,1
2119,ctx-rh-G_occipit-temp_med-Parahippocampal_part,65,100,20,1
2120,ctx-rh-G_orbital,220,60,20,1
2121,ctx-rh-G_paracentral,60,100,60,1
2122,ctx-rh-G_parietal_inferior-Angular_part,20,60,220,1
2123,ctx-rh-G_parietal_inferior-Supramarginal_part,100,100,60,1
2124,ctx-rh-G_parietal_superior,220,180,220,1
2125,ctx-rh-G_postcentral,20,180,140,1
2126,ctx-rh-G_precentral,60,140,180,1
2127,ctx-rh-G_precuneus,25,20,140,1
2128,ctx-rh-G_rectus,20,60,100,1
2129,ctx-rh-G_subcallosal,60,220,20,1
2130,ctx-rh-G_subcentral,60,20,220,1
2131,ctx-rh-G_temporal_inferior,220,220,100,1
2132,ctx-rh-G_temporal_middle,180,60,60,1
2133,ctx-rh-G_temp_sup-G_temp_transv_and_interm_S,60,60,220,1
2134,ctx-rh-G_temp_sup-Lateral_aspect,220,60,220,1
2135,ctx-rh-G_temp_sup-Planum_polare,65,220,60,1
2136,ctx-rh-G_temp_sup-Planum_tempolare,25,140,20,1
2137,ctx-rh-G_and_S_transverse_frontopolar,13,0,250,1
2138,ctx-rh-Lat_Fissure-ant_sgt-ramus_horizontal,61,20,220,1
2139,ctx-rh-Lat_Fissure-ant_sgt-ramus_vertical,61,20,60,1
2140,ctx-rh-Lat_Fissure-post_sgt,61,60,100,1
2141,ctx-rh-Medial_wall,25,25,25,1
2142,ctx-rh-Pole_occipital,140,20,60,1
2143,ctx-rh-Pole_temporal,220,180,20,1
2144,ctx-rh-S_calcarine,63,180,180,1
2145,ctx-rh-S_central,221,20,10,1
2146,ctx-rh-S_central_insula,21,220,20,1
2147,ctx-rh-S_cingulate-Main_part_and_Intracingulate,183,100,20,1
2148,ctx-rh-S_cingulate-Marginalis_part,221,20,100,1
2149,ctx-rh-S_circular_insula_anterior,221,60,140,1
2150,ctx-rh-S_circular_insula_inferior,221,20,220,1
2151,ctx-rh-S_circular_insula_superior,61,220,220,1
2152,ctx-rh-S_collateral_transverse_ant,100,200,200,1
2153,ctx-rh-S_collateral_transverse_post,10,200,200,1
2154,ctx-rh-S_frontal_inferior,221,220,20,1
2155,ctx-rh-S_frontal_middle,141,20,100,1
2156,ctx-rh-S_frontal_superior,61,220,100,1
2157,ctx-rh-S_frontomarginal,21,220,60,1
2158,ctx-rh-S_intermedius_primus-Jensen,141,60,20,1
2159,ctx-rh-S_intraparietal-and_Parietal_transverse,143,20,220,1
